"cell_id","cell_lon","cell_lat","year","month","ym","xco2_mean_oco2_oco3","xco2_mean_gosat2","n_obs_oco2_oco3","n_obs_gosat2","diff_ppm","media_ppm","season"
"-50.5_-9.5",-50.5,-9.5,2024,8,"2024-08",423.117463462373,425.947255452474,234,3,2.82979199010083,424.532359457424,"seca"
"-50.5_0.5",-50.5,0.5,2020,9,"2020-09",412.267196655273,412.818196614583,10,3,0.550999959309877,412.542696634928,"seca"
"-51.5_-10.5",-51.5,-10.5,2023,8,"2023-08",419.998619227256,424.001637776693,155,3,4.00301854943717,422.000128501974,"seca"
"-51.5_-11.5",-51.5,-11.5,2024,9,"2024-09",422.648185111381,427.120747884115,222,3,4.47256277273362,424.884466497748,"seca"
"-51.5_-13.5",-51.5,-13.5,2024,7,"2024-07",422.338844014991,424.869791666667,644,3,2.53094765167555,423.604317840829,"seca"
"-51.5_-5.5",-51.5,-5.5,2022,7,"2022-07",417.43054300944,419.620768229167,30,3,2.19022521972659,418.525655619303,"seca"
"-51.5_-5.5",-51.5,-5.5,2024,7,"2024-07",422.97030603533,426.331410725911,169,3,3.36110469058184,424.650858380621,"seca"
"-51.5_-7.5",-51.5,-7.5,2024,7,"2024-07",422.369740238896,425.843170166016,54,3,3.47342992711953,424.106455202456,"seca"
"-51.5_-8.5",-51.5,-8.5,2021,7,"2021-07",416.043548018844,416.840209960938,54,3,0.796661942093465,416.441878989891,"seca"
"-52.5_-10.5",-52.5,-10.5,2023,6,"2023-06",418.851548668292,420.973337809245,139,3,2.1217891409529,419.912443238768,"seca"
"-52.5_-13.5",-52.5,-13.5,2024,8,"2024-08",422.406148323646,422.975616455078,208,3,0.569468131432188,422.690882389362,"seca"
"-52.5_-5.5",-52.5,-5.5,2024,7,"2024-07",423.006783621652,427.323872884115,14,3,4.31708926246279,425.165328252883,"seca"
"-52.5_-7.5",-52.5,-7.5,2024,7,"2024-07",422.249163265886,425.305257161458,696,3,3.05609389557236,423.777210213672,"seca"
"-52.5_-8.5",-52.5,-8.5,2019,7,"2019-07",411.35441852438,412.987299601237,29,6,1.63288107685662,412.170859062809,"seca"
"-52.5_-8.5",-52.5,-8.5,2024,8,"2024-08",423.429831368583,428.044769287109,7,3,4.61493791852678,425.737300327846,"seca"
"-53.5_-7.5",-53.5,-7.5,2021,7,"2021-07",413.88227335612,419.844932556152,54,4,5.96265920003253,416.863602956136,"seca"
"-53.5_-7.5",-53.5,-7.5,2021,8,"2021-08",412.927767555186,420.259928385417,149,3,7.33216083023109,416.593847970301,"seca"
"-54.5_-14.5",-54.5,-14.5,2024,8,"2024-08",421.082258197623,428.982045491536,71,3,7.89978729391322,425.03215184458,"seca"
"-54.5_-2.5",-54.5,-2.5,2024,7,"2024-07",423.700456689905,427.315505981445,108,4,3.61504929154006,425.507981335675,"seca"
"-54.5_-4.5",-54.5,-4.5,2024,7,"2024-07",423.088810588038,428.843912760417,344,3,5.75510217237843,425.966361674227,"seca"
"-54.5_-7.5",-54.5,-7.5,2024,8,"2024-08",422.547959391276,425.599039713542,45,3,3.05108032226565,424.073499552409,"seca"
"-54.5_-9.5",-54.5,-9.5,2024,8,"2024-08",424.446622495298,424.810447692871,27,4,0.363825197573078,424.628535094085,"seca"
"-55.5_-11.5",-55.5,-11.5,2024,7,"2024-07",422.856326180917,426.714111328125,135,3,3.85778514720778,424.785218754521,"seca"
"-55.5_-13.5",-55.5,-13.5,2020,8,"2020-08",411.772331342305,417.214019775391,657,3,5.4416884330854,414.493175558848,"seca"
"-55.5_-13.5",-55.5,-13.5,2024,7,"2024-07",422.732390280331,426.499473571777,255,4,3.76708329144645,424.615931926054,"seca"
"-55.5_-8.5",-55.5,-8.5,2024,8,"2024-08",423.124613585295,427.816904703776,216,3,4.69229111848057,425.470759144536,"seca"
"-56.5_-10.5",-56.5,-10.5,2024,8,"2024-08",422.022074685168,426.376322428385,134,3,4.35424774321751,424.199198556777,"seca"
"-56.5_-11.5",-56.5,-11.5,2019,8,"2019-08",409.639837588904,417.527669270833,106,3,7.8878316819293,413.583753429869,"seca"
"-56.5_-13.5",-56.5,-13.5,2024,7,"2024-07",423.401887646611,428.653584798177,386,3,5.25169715156619,426.027736222394,"seca"
"-56.5_-2.5",-56.5,-2.5,2019,8,"2019-08",409.672115672718,411.002400716146,44,3,1.33028504342741,410.337258194432,"seca"
"-56.5_-8.5",-56.5,-8.5,2023,7,"2023-07",419.224333792022,424.166168212891,99,3,4.94183442086887,421.695251002456,"seca"
"-57.5_-10.5",-57.5,-10.5,2024,8,"2024-08",423.28091052347,428.665283203125,363,4,5.3843726796552,425.973096863297,"seca"
"-57.5_-11.5",-57.5,-11.5,2024,7,"2024-07",422.303862571716,427.416381835938,96,3,5.11251926422119,424.860122203827,"seca"
"-57.5_-9.5",-57.5,-9.5,2024,7,"2024-07",422.838940992423,429.397247314453,282,3,6.55830632203015,426.118094153438,"seca"
"-57.5_-9.5",-57.5,-9.5,2024,8,"2024-08",423.525270462036,428.580551147461,80,4,5.0552806854248,426.052910804749,"seca"
"-58.5_-10.5",-58.5,-10.5,2019,6,"2019-06",411.224148090069,415.518562316895,26,4,4.29441422682544,413.371355203482,"seca"
"-58.5_-10.5",-58.5,-10.5,2019,7,"2019-07",410.444055360736,414.416625976562,165,3,3.97257061582621,412.430340668649,"seca"
"-58.5_-7.5",-58.5,-7.5,2021,7,"2021-07",415.005887107704,420.498580932617,526,4,5.49269382491309,417.752234020161,"seca"
"-58.5_-7.5",-58.5,-7.5,2024,6,"2024-06",422.440880137042,429.331726074219,121,3,6.89084593717718,425.88630310563,"seca"
"-58.5_-7.5",-58.5,-7.5,2024,7,"2024-07",422.691230426205,428.494610595703,373,5,5.80338016949776,425.592920510954,"seca"
"-58.5_-9.5",-58.5,-9.5,2024,7,"2024-07",422.845362033484,428.327056884766,424,3,5.48169485128153,425.586209459125,"seca"
"-59.5_-10.5",-59.5,-10.5,2024,7,"2024-07",422.549922016569,426.141082763672,457,4,3.59116074710238,424.345502390121,"seca"
"-59.5_-11.5",-59.5,-11.5,2021,8,"2021-08",414.709780989022,419.237945556641,145,3,4.52816456761855,416.973863272831,"seca"
"-59.5_-13.5",-59.5,-13.5,2019,5,"2019-05",408.327917630555,414.717885335286,122,3,6.38996770473125,411.522901482921,"seca"
"-59.5_-13.5",-59.5,-13.5,2019,7,"2019-07",409.453125,415.636016845703,8,3,6.18289184570312,412.544570922852,"seca"
"-59.5_-14.5",-59.5,-14.5,2019,6,"2019-06",409.909591674805,413.398783365885,4,3,3.48919169108075,411.654187520345,"seca"
"-59.5_-4.5",-59.5,-4.5,2020,8,"2020-08",412.007735925562,411.903137207031,544,5,-0.104598718531008,411.955436566297,"seca"
"-59.5_-4.5",-59.5,-4.5,2024,7,"2024-07",423.448377487507,425.282185872396,376,3,1.83380838488853,424.365281679952,"seca"
"-59.5_-5.5",-59.5,-5.5,2020,8,"2020-08",411.674575175136,413.510162353516,121,3,1.83558717838002,412.592368764326,"seca"
"-59.5_-7.5",-59.5,-7.5,2024,7,"2024-07",423.318975830078,427.986185709635,45,3,4.66720987955733,425.652580769857,"seca"
"-59.5_-8.5",-59.5,-8.5,2021,7,"2021-07",414.431877322313,420.353988647461,41,4,5.92211132514768,417.392932984887,"seca"
"-59.5_-8.5",-59.5,-8.5,2024,7,"2024-07",422.579613262073,429.497965494792,331,3,6.91835223271892,426.038789378432,"seca"
"-60.5_-11.5",-60.5,-11.5,2021,7,"2021-07",414.362360428791,419.79286702474,490,3,5.43050659594888,417.077613726765,"seca"
"-60.5_-13.5",-60.5,-13.5,2024,7,"2024-07",422.210038034539,430.248107910156,342,3,8.03806987561677,426.229072972348,"seca"
"-60.5_-7.5",-60.5,-7.5,2022,6,"2022-06",421.399118221507,418.665547688802,85,3,-2.7335705327053,420.032332955155,"seca"
"-60.5_-8.5",-60.5,-8.5,2023,7,"2023-07",419.423895354318,423.653096516927,202,3,4.22920116260894,421.538495935623,"seca"
"-60.5_-8.5",-60.5,-8.5,2024,7,"2024-07",422.551628599776,427.045878092448,188,3,4.49424949267234,424.798753346112,"seca"
"-61.5_-11.5",-61.5,-11.5,2024,7,"2024-07",422.136030193682,427.428649902344,551,4,5.29261970866179,424.782340048013,"seca"
"-61.5_-3.5",-61.5,-3.5,2023,9,"2023-09",418.535179985894,422.457539876302,9,3,3.92235989040796,420.496359931098,"seca"
"-61.5_-3.5",-61.5,-3.5,2024,7,"2024-07",423.731959025065,428.702301025391,6,3,4.9703420003255,426.217130025228,"seca"
"-61.5_-9.5",-61.5,-9.5,2021,8,"2021-08",415.763268512228,419.211710611979,46,3,3.44844209975093,417.487489562104,"seca"
"-61.5_-9.5",-61.5,-9.5,2024,7,"2024-07",421.857244676159,428.30234375,31,5,6.44509907384071,425.07979421308,"seca"
"-62.5_-7.5",-62.5,-7.5,2020,7,"2020-07",412.342297953944,415.243804931641,31,3,2.90150697769656,413.793051442792,"seca"
"-62.5_-7.5",-62.5,-7.5,2020,9,"2020-09",411.683817545573,413.300231933594,3,3,1.61641438802081,412.492024739583,"seca"
"-62.5_-9.5",-62.5,-9.5,2024,7,"2024-07",423.644249919938,421.830673217773,247,4,-1.81357670216426,422.737461568856,"seca"
"-63.5_-10.5",-63.5,-10.5,2024,7,"2024-07",423.344013224857,428.053975423177,355,3,4.70996219832011,425.698994324017,"seca"
"-63.5_-11.5",-63.5,-11.5,2024,7,"2024-07",421.872121740271,430.165018717448,54,3,8.29289697717741,426.018570228859,"seca"
"-63.5_-8.5",-63.5,-8.5,2021,5,"2021-05",413.14019938151,418.534693400065,450,6,5.39449401855472,415.837446390788,"seca"
"-63.5_-8.5",-63.5,-8.5,2021,6,"2021-06",414.533202959144,420.011776394314,184,9,5.47857343517063,417.272489676729,"seca"
"-63.5_-8.5",-63.5,-8.5,2021,7,"2021-07",415.253926663324,419.868872209029,894,44,4.6149455457047,417.561399436176,"seca"
"-63.5_-8.5",-63.5,-8.5,2021,8,"2021-08",412.657105848524,418.652645534939,45,9,5.99553968641493,415.654875691732,"seca"
"-63.5_-8.5",-63.5,-8.5,2022,5,"2022-05",415.876788330078,420.713272094727,20,6,4.83648376464845,418.295030212402,"seca"
"-63.5_-8.5",-63.5,-8.5,2022,7,"2022-07",416.208666564113,421.362962995257,884,14,5.15429643114379,418.785814779685,"seca"
"-63.5_-8.5",-63.5,-8.5,2022,8,"2022-08",416.196303256722,421.326279251664,86,27,5.12997599494139,418.761291254193,"seca"
"-63.5_-8.5",-63.5,-8.5,2022,9,"2022-09",415.968729355756,420.132911682129,34,24,4.16418232637295,418.050820518942,"seca"
